"","species_id","bwg_name","domain","kingdom","phylum","subphylum","class","subclass","ord","subord","family","subfamily","tribe","genus","species","subspecies","functional_group","predation","realm","micro_macro","barcode","names","AS1","AS2","AS3","AS4","BS1","BS2","BS3","BS4","BS5","DM1","DM2","FD1","FD2","FD3","FD4","FD5","FD6","FD7","FD8","FG1","FG2","FG3","FG4","FG5","FG6","LO1","LO2","LO3","LO4","LO5","LO6","LO7","RE1","RE2","RE3","RE4","RE5","RE6","RE7","RE8","RF1","RF2","RF3","RF4","RM1","RM2","RM3","RM4","RM5","MD1","MD2","MD3","MD4","MD5","MD6","MD7","MD8","CP1","CP2","CP3"
1,3361,"Copepoda.1","Eukaryota","Animalia","Arthropoda","Crustacea","Maxillopoda","Copepoda","Harpacticoida",NA,"Canthocamptidae",NA,NA,"Bryocamptus",NA,NA,"filter.feeder","prey","aquatic","micro","EEE","Bryocamptus sp",0,0,0,3,3,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0,0,3,3,0,0,0,1,0,2,3,3,0,0,3,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,1,1,0,1,0,0,3,0,0
2,3366,"Branchiopoda.2","Eukaryota","Animalia","Arthropoda","Crustacea","Branchiopoda","Phyllopoda","Diplostraca","Cladocera","Daphnidae",NA,NA,NA,NA,NA,"filter.feeder","prey","aquatic","micro","123","Daphnidae sp",0,0,0,3,3,0,0,0,0,3,0,3,2,0,3,0,0,0,0,0,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,1,1,0,1,0,0,3,0,0
3,3371,"Diptera.222","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic","macro",NA,"Pupa_Diptera2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,0,NA,NA,NA
4,3376,"Diptera.223","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic","macro",NA,"Pupa_Diptera3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,0,NA,NA,NA
5,3381,"Diptera.224","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic","macro",NA,"Pupa_Diptera4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,0,NA,NA,NA
6,3386,"Diptera.225","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic","macro",NA,"Pupa_Diptera5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,0,NA,NA,NA
7,3391,"Diptera.226","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic","macro",NA,"Pupa_Diptera6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,0,NA,NA,NA
8,3396,"Diptera.26","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic","macro",NA,"Brachycera1",0,3,2,0,0,3,0,0,0,0,3,0,0,0,0,0,3,3,2,0,0,0,0,3,2,0,0,0,1,3,0,0,2,0,0,3,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,NA,NA,NA
9,3401,"Diptera.437","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic","macro",NA,"BrachyceraA",0,3,2,0,0,3,0,0,0,0,3,0,0,0,0,0,3,3,2,0,0,0,0,3,2,0,0,0,1,3,0,0,2,0,0,3,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,NA,NA,NA
10,3406,"Diptera.27","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic","macro",NA,"Brachycera2",0,3,2,0,0,3,0,0,0,0,3,0,0,0,0,0,3,3,2,0,0,0,0,3,2,0,0,0,1,3,0,0,2,0,0,3,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,NA,NA,NA
11,3411,"Diptera.28","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic","macro",NA,"Brachycera3",0,3,2,0,0,3,0,0,0,0,3,0,0,0,0,0,3,3,2,0,0,0,0,3,2,0,0,0,1,3,0,0,2,0,0,3,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,NA,NA,NA
12,3416,"Diptera.29","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic","macro",NA,"Brachycera4",0,3,2,0,0,3,0,0,0,0,3,0,0,0,0,0,3,3,2,0,0,0,0,3,2,0,0,0,1,3,0,0,2,0,0,3,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,NA,NA,NA
13,3421,"Branchiopoda.3","Eukaryota","Animalia","Arthropoda","Crustacea","Branchiopoda","Phyllopoda","Diplostraca","Cladocera","Daphniidae",NA,NA,"Ceriodaphnia","laticaudata",NA,"filter.feeder","prey","aquatic","micro",NA,"Ceriodaphnia;laticaudata",0,0,0,3,3,0,0,0,0,3,0,3,2,0,3,0,0,0,0,0,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,1,1,0,1,0,0,3,0,0
14,3426,"Diptera.229","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,NA,NA,"piercer","predator","terrestrial","macro",NA,"Rhagionidae larva?",2,3,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,2,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,3,0,3,0,0,0,0,0,0,0,NA,NA,NA
15,3431,"Diptera.7","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","aff. Drosophilidae",NA,NA,NA,NA,NA,"gatherer","prey","aquatic","macro",NA,"aff. Drosophilidae sp. 1",1,1,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0
16,3436,"Diptera.184","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Anisopodidae","Anisopodinae",NA,"Olbiogaster",NA,NA,"gatherer","prey","aquatic","macro",NA,"Olbiogaster sp. 1",2,3,0,0,0,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,1,1,1,1,1,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0
17,3441,"Diptera.497","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Anisopodidae",NA,NA,NA,NA,NA,"gatherer","prey","aquatic","macro",NA,NA,2,3,0,0,0,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,1,1,1,1,1,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0
18,3446,"Diptera.16","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Axymyiidae",NA,NA,NA,NA,NA,"engulfer","predator","aquatic","macro",NA,"Axmyiidae cf. sp. 5561",0,3,2,0,0,0,3,0,0,0,3,0,0,0,0,0,3,3,2,0,3,0,0,2,3,0,0,0,3,3,0,0,2,0,0,3,0,3,0,0,0,0,0,3,1,3,0,3,0,3,0,0,0,0,0,0,0,3,0,0
19,3451,"Diptera.529","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Brachycera","Canacidae",NA,NA,NA,NA,NA,"piercer","predator",NA,"macro",NA,"DPT - IC31",1,3,1,0,0,3,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0
20,3456,"Diptera.521","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Cecidomyiidae",NA,NA,NA,NA,NA,"piercer","predator",NA,"macro",NA,"DPT - IC6",1,3,1,0,0,3,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0
21,3461,"Diptera.522","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Cecidomyiidae",NA,NA,NA,NA,NA,"piercer","predator",NA,"macro",NA,"DPT - IC8",1,3,1,0,0,3,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0
22,3466,"Diptera.523","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Cecidomyiidae",NA,NA,NA,NA,NA,"piercer","predator",NA,"macro",NA,"DPT - IC13",1,3,1,0,0,3,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0
23,3471,"Diptera.30","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Cecidomyiidae",NA,NA,NA,NA,NA,"piercer","predator","aquatic","macro",NA,"Cecidomyidae sp. 1",1,3,1,0,0,3,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0
24,3476,"Coleoptera.4","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial","macro",NA,"Coleopteraimago1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,3,0,0,NA,NA,NA
25,3481,"Diptera.31","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Cecidomyiidae",NA,NA,NA,NA,NA,"piercer","predator","aquatic","macro",NA,"Cecidomyidae sp. 2",1,3,1,0,0,3,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0
26,3486,"Diptera.32","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Cecidomyiidae",NA,NA,NA,NA,NA,"piercer","predator","aquatic","macro",NA,"Cecidomyidae sp. 3",1,3,1,0,0,3,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0
27,3491,"Diptera.35","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Cecidomyiidae",NA,NA,NA,NA,NA,"piercer","predator","aquatic","macro",NA,"Cecidomyiidae1;Diptera.33;Diptera.34",1,3,1,0,0,3,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0
