;genus;CPI1;CPI2;CPI3
1;Aedes;3;0;0
2;Aelosoma;3;1;0
3;Alepia;3;0;0
4;Alona;3;0;0
5;Anopheles;2;3;0
6;Apocyclops;3;0;0
7;Atrichopogon;3;1;0
8;Aulacigaster;3;0;0
9;Bezzia;3;1;0
10;Boreochlus;3;1;0
11;Brachypremna;0;3;0
12;Bromeliagrion;0;0;3
13;Bryocamptus;3;0;0
14;Callistocypris;0;3;2
15;Candonopsis;0;3;2
16;Celina;0;3;2
17;Ceriodaphnia;3;0;0
18;Cheilotrichia;0;3;0
19;Chironomus;3;1;0
20;Contacyphon;0;1;3
21;Copelatus;0;3;2
22;Copestylum;2;3;0
23;Corethrella;3;0;0
24;Corynoneura;3;1;0
25;Culex;3;0;0
26;Culicoides;3;1;0
27;Dero;3;1;0
28;Elpidium;0;0;3
29;Eristalis;2;3;0
30;Eukiefferiella;3;1;0
31;Fidena;0;3;2
32;Forcipomyia;3;1;0
33;Forcypomyia;3;1;0
34;Gravatamberus;3;1;0
35;Haemagogus;3;0;0
36;Harnischia;3;1;0
37;Hermetia;3;1;0
38;Larsia;3;1;0
39;Latinopsis;0;3;2
40;Lejops;2;3;0
41;Leptagrion;0;0;3
42;Leucotabanus;0;3;2
43;Limatus;3;0;0
44;Limnophyes;3;1;0
45;Limonia;0;3;0
46;Mecistogaster;0;0;3
47;Meromacrus;2;3;0
48;Metriocnemus;3;1;0
49;Microvelia;2;3;0
50;Monopelopia;3;1;0
51;Ocyptamus;2;3;0
52;Olbiogaster;3;0;0
53;Omicrus;0;3;2
54;Ormosia;0;3;0
55;Orthopodomyia;3;0;0
56;Palpada;2;3;0
57;Paratanytarsus;3;1;0
58;Paravelia;2;3;0
59;Pericoma;3;0;0
60;Phylloicus;0;0;3
61;Phytotelmatocladius;3;1;0
62;Pipiza;2;3;0
63;Platycrepidius;0;3;2
64;Polypedilum;3;1;0
65;Pristina;3;1;0
66;Psychoda;3;0;0
67;Quichuana;2;3;0
68;Rhabdomastrix;0;3;0
69;Rheocricotopus;3;1;0
70;Runchomyia;3;0;0
71;Scirtes;0;1;3
72;Smittia;3;1;0
73;Sphaeromias;3;1;0
74;Stempellinella;3;1;0
75;Stenochironomus;3;1;0
76;Stibasoma;0;3;2
77;Stilobezzia;3;1;0
78;Tanytarsus;3;1;0
79;Telmatoscopus;3;0;0
80;Tipula;0;3;0
81;Toxorhynchites;0;3;1
82;Trentepohlia;0;3;0
83;Wyeomyia;3;0;0
84;Xilota;2;3;0
85;Aulophorus;3;1;0
86;Anopheles_or_Wyeomia_or_Culex;3;1;0
87;Eutrigaster;3;1;0
88;Neotrigaster;3;1;0
89;Trigaster;3;1;0
90;Dipropus;0;3;2
91;Sinella;0;3;0
92;Willowsia;0;3;0
93;Dilobitarsus;0;3;2
94;Pseudosinella;0;3;0
95;Helobdella;0;3;0
96;Dasyhelea;3;1;0
