;family;CPI1;CPI2;CPI3
1;Aeolosomatidae;3;1;0
2;aff. Drosophilidae;3;0;0
3;Anisopodidae;3;0;0
4;Aulacigastridae;3;0;0
5;Axymyiidae;3;0;0
6;Calamoceratidae;0;0;3
7;Canacidae;3;0;0
8;Candonidae;0;3;2
9;Canthocamptidae;3;0;0
10;Carabidae;NA;NA;NA
11;Cecidomyiidae;3;0;0
12;Ceratopogonidae;3;1;0
14;Chironomidae;3;1;0
15;Chydoridae;3;0;0
16;Coenagrionidae;0;0;3
17;Corethrellidae;3;0;0
18;Culicidae;3;1;0
21;Curculionidae;NA;NA;NA
22;Cyclopidae;3;0;0
23;Cyprididae;0;3;2
24;Daphnidae;3;0;0
25;Daphniidae;3;0;0
26;Dolichopodidae;0;3;0
27;Dolychopodidae;0;3;0
28;Dytiscidae;0;3;2
29;Elateridae;NA;NA;NA
30;Elmidae;0;0;3
31;Empididae;3;0;0
32;Enchytraeoidae;3;1;0
33;Enicocephalidae;NA;NA;NA
34;Ephydridae;3;0;0
35;Gerridae;2;3;0
36;Hydrophilidae;0;3;2
37;Lampyridae;0;3;2
38;Limnocytheridae;0;0;3
39;Limoniidae;0;3;0
40;Mesoveliidae;2;3;0
41;Muscidae;NA;NA;NA
42;Naididae;3;1;0
43;Periscelididae;3;0;0
44;Phoridae;3;0;0
45;Planorbidae;0;0;3
46;Pseudostigmatidae;0;0;3
47;Psychodidae;3;0;0
48;Ptilodactylidae;0;3;2
49;Sarchophagidae;NA;NA;NA
51;Scatopsidae;3;1;0
52;Sciaridae;3;0;0
53;Sciaridae;3;1;0
54;Scirtidae;0;1;3
55;Sphaeroceridae;3;0;0
56;Stratiomyidae;3;1;0
57;Syrphidae;2;3;0
58;Tabanidae;0;3;2
59;Thaumaleidae;3;1;0
60;Tineidae;NA;NA;NA
61;Tipulidae;0;3;0
62;Veliidae;2;3;0
