filename,plant_id,Diam1,NL,Vmax,Diam2,species
aquilega_Biog,1,110.0,19,1590.0,NA,Aechmaea_aquilega
aquilega_Biog,5,100.0,15,1330.0,NA,Aechmaea_aquilega
aquilega_Biog,7,100.0,15,1320.0,NA,Aechmaea_aquilega
aquilega_Biog,16,110.0,15,1680.0,NA,Aechmaea_aquilega
aquilega_Biog,18,120.0,17,1310.0,NA,Aechmaea_aquilega
aquilega_Biog,19,110.0,11,920.0,NA,Aechmaea_aquilega
aquilega_Biog,26,120.0,20,2920.0,NA,Aechmaea_aquilega
aquilega_Biog,27,120.0,19,1280.0,NA,Aechmaea_aquilega
aquilega_Biog,28,130.0,21,1790.0,NA,Aechmaea_aquilega
aquilega_Biog,29,120.0,16,1400.0,NA,Aechmaea_aquilega
aquilega_Biog,30,120.0,24,2530.0,NA,Aechmaea_aquilega
aquilega_Biog,39,90.0,15,630.0,NA,Aechmaea_aquilega
aquilega_Biog,42,100.0,13,810.0,NA,Aechmaea_aquilega
aquilega_Biog,8,110.0,17,1070.0,NA,Aechmaea_aquilega
aquilega_Biog,13,130.0,17,1308.0,NA,Aechmaea_aquilega
aquilega_Biog,15,100.0,12,780.0,NA,Aechmaea_aquilega
aquilega_Biog,20,115.0,18,1280.0,NA,Aechmaea_aquilega
aquilega_Biog,22,120.0,23,1390.0,NA,Aechmaea_aquilega
aquilega_Biog,23,90.0,20,1890.0,NA,Aechmaea_aquilega
aquilega_Biog,31,100.0,19,1780.0,NA,Aechmaea_aquilega
aquilega_Biog,32,130.0,22,2590.0,NA,Aechmaea_aquilega
aquilega_Biog,35,110.0,15,2100.0,NA,Aechmaea_aquilega
aquilega_Biog,36,100.0,14,940.0,NA,Aechmaea_aquilega
aquilega_Biog,38,100.0,17,840.0,NA,Aechmaea_aquilega
aquilega_Biog,44,100.0,17,890.0,NA,Aechmaea_aquilega
aquilega_Biog,47,90.0,12,1480.0,NA,Aechmaea_aquilega
aquilega_Biog,4,120.0,18,1060.0,NA,Aechmaea_aquilega
aquilegaKT,a46,130.0,18,600.0,NA,Aechmaea_aquilega
aquilegaKT,a9,100.0,15,1e3,NA,Aechmaea_aquilega
aquilegaKT,k1,104.0,18,550.0,NA,Aechmaea_aquilega
aquilegaKT,k13,75.0,11,600.0,NA,Aechmaea_aquilega
aquilegaKT,k2,68.0,12,380.0,NA,Aechmaea_aquilega
aquilegaKT,k11,81.0,12,240.0,NA,Aechmaea_aquilega
aquilegaKT,a41,100.0,12,590.0,NA,Aechmaea_aquilega
aquilegaKT,a49,84.0,14,550.0,NA,Aechmaea_aquilega
aquilegaKT,k12,117.0,18,890.0,NA,Aechmaea_aquilega
aquilegaKT,k17,120.0,19,700.0,NA,Aechmaea_aquilega
aquilegaKT,k10,90.0,13,800.0,NA,Aechmaea_aquilega
aquilegaKT,k14,87.0,18,910.0,NA,Aechmaea_aquilega
aquilegaKT,k4,90.0,13,490.0,NA,Aechmaea_aquilega
aquilegaKT,k5,100.0,17,590.0,NA,Aechmaea_aquilega
aquilegaKT,k9,94.0,20,1e3,NA,Aechmaea_aquilega
aquilegaKT,a10,120.0,20,1e3,NA,Aechmaea_aquilega
aquilegaKT,k15,100.0,16,770.0,NA,Aechmaea_aquilega
aquilegaKT,k16,79.0,19,1350.0,NA,Aechmaea_aquilega
aquilegaKT,k7,72.0,17,900.0,NA,Aechmaea_aquilega
aquilegaKT,k8,80.0,12,580.0,NA,Aechmaea_aquilega
aquilegaKT,FW1,54.0,10,420.0,NA,Aechmaea_aquilega
aquilegaKT,FW2,43.0,10,1070.0,NA,Aechmaea_aquilega
aquilegaKT,FW3,41.0,9,510.0,NA,Aechmaea_aquilega
aquilegaKT,FW4,56.0,11,630.0,NA,Aechmaea_aquilega
aquilegaKT,FW5,61.0,12,410.0,NA,Aechmaea_aquilega
aquilegaKT,FW6,49.0,10,230.0,NA,Aechmaea_aquilega
aquilegaKT,FW7,87.0,10,350.0,NA,Aechmaea_aquilega
aquilegaKT,FW8,22.0,8,110.0,NA,Aechmaea_aquilega
aquilegaKT,FW9,26.0,6,60.0,NA,Aechmaea_aquilega
aquilegaKT,FW10,49.0,9,510.0,NA,Aechmaea_aquilega
aquilegaKT,FW11,49.0,7,40.0,NA,Aechmaea_aquilega
aquilegaKT,FW12,28.0,7,130.0,NA,Aechmaea_aquilega
aquilegaKT,FW13,23.0,8,70.0,NA,Aechmaea_aquilega
aquilegaKT,FW14,39.0,14,350.0,NA,Aechmaea_aquilega
Guzmania_PR,1,875.0,29,390.0,NA,Guzmania_sp
Guzmania_PR,4,785.0,21,250.0,NA,Guzmania_sp
Guzmania_PR,7,1045.0,21,232.0,NA,Guzmania_sp
Guzmania_PR,10,935.0,18,234.0,NA,Guzmania_sp
Guzmania_PR,13,665.0,21,390.0,NA,Guzmania_sp
Guzmania_PR,16,112.0,23,274.0,NA,Guzmania_sp
Guzmania_PR,19,845.0,25,490.0,NA,Guzmania_sp
Guzmania_PR,22,705.0,21,284.0,NA,Guzmania_sp
Guzmania_PR,25,83.0,19,314.0,NA,Guzmania_sp
Guzmania_PR,28,101.0,25,438.0,NA,Guzmania_sp
Guzmania_PR,2,765.0,23,550.0,NA,Guzmania_sp
Guzmania_PR,5,89.0,31,396.0,NA,Guzmania_sp
Guzmania_PR,8,70.0,27,372.0,NA,Guzmania_sp
Guzmania_PR,11,73.0,22,320.0,NA,Guzmania_sp
Guzmania_PR,14,865.0,25,410.0,NA,Guzmania_sp
Guzmania_PR,17,885.0,26,320.0,NA,Guzmania_sp
Guzmania_PR,20,805.0,34,362.0,NA,Guzmania_sp
Guzmania_PR,23,65.0,16,230.0,NA,Guzmania_sp
Guzmania_PR,26,66.0,26,300.0,NA,Guzmania_sp
Guzmania_PR,29,63.0,34,444.0,NA,Guzmania_sp
Guzmania_PR,3,705.0,27,380.0,NA,Guzmania_sp
Guzmania_PR,6,86.0,30,470.0,NA,Guzmania_sp
Guzmania_PR,9,805.0,19,466.0,NA,Guzmania_sp
Guzmania_PR,12,785.0,35,395.0,NA,Guzmania_sp
Guzmania_PR,15,79.0,32,388.0,NA,Guzmania_sp
Guzmania_PR,18,755.0,23,310.0,NA,Guzmania_sp
Guzmania_PR,21,81.0,24,278.0,NA,Guzmania_sp
Guzmania_PR,24,76.0,16,230.0,NA,Guzmania_sp
Guzmania_PR,27,72.0,24,376.0,NA,Guzmania_sp
Guzmania_PR,30,545.0,19,350.0,NA,Guzmania_sp
