ID;Diam1;NL;Vmax
a46 ;130;18;600
a9 ;100;15;1000
k1 ;104;18;550
k13 ;75;11;600
k2 ;68;12;380
k11 ;81;12;240
a41 ;100;12;590
a49 ;84;14;550
k12 ;117;18;890
k17 ;120;19;700
k10 ;90;13;800
k14 ;87;18;910
k4 ;90;13;490
k5  ;100;17;590
k9 ;94;20;1000
a10 ;120;20;1000
k15 ;100;16;770
k16 ;79;19;1350
k7 ;72;17;900
k8 ;80;12;580
FW1;54;10;420
FW2;43;10;1070
FW3;41;9;510
FW4;56;11;630
FW5;61;12;410
FW6;49;10;230
FW7;87;10;350
FW8;22;8;110
FW9;26;6;60
FW10;49;9;510
FW11;49;7;40
FW12;28;7;130
FW13;23;8;70
FW14;39;14;350
