plante;Diam1;Diam2;NL;Vmax
1;55;45;11;60
2;40;26;11;75
3;36;33;10;62
4;33;40;11;70
5;42;27;10;45
6;45;34;11;75
7;43;45;12;63
8;32;33;11;58
9;33;24;11;60
10;46;36;13;74
11;34;32;10;76
12;38;45;11;80
13;39;29;12;65
14;23;18;12;67
15;33;31;10;72
16;23;18;6;50
17;26;20;9;80
18;28;23;9;82
19;28;24;13;95
20;20;23;11;62
21;23;22;12;72
22;26;26;7;50
23;26;20;9;75
24;30;21;11;60
25;20;20;9;78
26;20;23;8;50
27;24;17;6;60
28;17;17;10;43
29;16;22;8;55
30;18;20;9;55
31;20;18;8;40
32;24;22;11;80
33;23;22;9;50
34;23;18;10;85
35;25;17;9;78
36;40;25;9;65
37;20;19;8;70
38;26;17;13;64
39;17;17;11;70
40;25;28;9;60
CFO23;19.75;19.75;5;32
CFO33;13.5;13.5;5;27
CFO34;12;12;5;24
CFO11;21;21;6;18
CFO12;17;17;6;19
CFO17;20;20;6;24
CFO19;17.5;17.5;6;24
CFO32;14;14;6;35
CFO15;25;25;7;60
a1;49;49;21;338
a2;69.5;69.5;22;305
a3;78.5;78.5;18;269
a4;57.5;57.5;16;265
a5;53.5;53.5;14;257
a6;60;60;14;243
a7;46;46;14;240
a8;47;47;16;218
a9;76.5;76.5;15;217
a10;61.5;61.5;16;175
a11;49;49;18;174
a12;49.5;49.5;17;174
a13;63;63;16;159
a14;23.5;23.5;14;159
a15;37.5;37.5;12;153
a16;62.5;62.5;16;152
a17;45.5;45.5;15;150
a18;40;40;14;150
a19;51.5;51.5;12;146
a20;72;72;12;145
a21;50;50;16;140
a22;27.5;27.5;15;138
a23;45;45;12;138
a24;84.5;84.5;14;135
a25;45;45;14;135
a26;69.5;69.5;12;132
a27;25.5;25.5;15;126
a28;48;48;16;120
