BromeliadID;Diam1;NL;Vmax
29;83;14;170
28;56;12;96
10;60;14;238
12;93;17;105
13;75;12;156
14;81;13;212
89;73;16;280
26;76;17;244
24;89;13;172
9;77;14;232
23;81;12;132
32;87;14;188
100;63;13;166
99;51;14;144
19;84;13;190
15;83;14;160
17;86;16;140
132;67;14;112
106;74;16;174
1;69;12;228
2;91;15;148
38;61;16;150
55;82;16;192
3;50;12;98
4;73;15;206
117;80;16;196
5;72;16;158
6;60;17;194
7;51;11;80
8;55;12;108
59;80;11;104
60;61;13;230
9;75;16;186
17;77;12;152
63;98;10;98
10;85;12;260
CM12;66;14;170
11;92;13;160
61;75;11;140
12;81;14;270
13;75;11;104
104;78;13;120
CM09;90;16;388
14;86;14;286
136;91;15;202
66;74;14;146
15;86;13;148
68;79;12;194
134-67;84;12;190
143;97;14;151
70;79;12;165
P14;56;9;68
P15;82;14;310
P16;76;15;182
137;101;19;300
139;82;15;292
18;52;11;82
T8;81;15;290
T10;70;15;202
T9;86;17;368
146;80;13;138
156;65;13;120
147;72;15;190
149;65;16;220
151;53;12;88
152;83;16;284
T31;55;16;280
153;77;16;312
154;74;15;336
T33;70;13;144
T28;69;13;92
T34;80;14;190
P1;43;11;37.5
P2;34;8;8
P3;32;9;59
P4;27;11;10
P5;42;9;30
P6;19;8;5
P7;27;8;15
P8;28;9;40
P9;27;7;17
P10;23;10;21
P11;18;6;1.5
P12;23;7;10.5
P13;24;9;11
P14;44;7;4.5
P15;21;8;5.5
