bromeliad_id,visit_id,original_id,species,actual_water,max_water,longest_leaf,num_leaf,height,diameter,extended_diameter,leaf_width,collection_date,plant_height_cm,spider,average_ph,canopy_height_m,elevation_m,number_bromeliads_on_tree,number_of_bromeliads_in_3m_radius,sampling_day,utme,utmn,dead_leaves,green_leaves,ammonium_umol_per_l,chlorophyll_a_ug_per_l,dissolved_organic_carbon_mgc_per_l,inorganic_carbon_mgc_per_l,nitrate_umol_per_l,ph,phosphate_umol_per_l,total_organic_carbon_mgC_per_l,turbidity_ntu,water_coloration_per_m,water_temperature_c,air_temperature_c,ant,horizontal_leaves_percentage,incident_radiation_above_ground_percentage,number_of_epiphytes_in_ant_garden,number_of_wells,reservoir_diameter_cm,reservoir_height_cm,vertical_leaves_percentage,bacteria_per_ml,virus_per_ml,algae_?gC_per_L,bacterial_abundance_cell_per_ml,fpom_mg,incident_radiation_percentage,plant_area_m2,catchment_diameter_cm,catchment_height_cm,core_diameter_cm,light_canopy_access_0_10,precipitation_access_0_10,total_bromeliads_within_2m_radius,total_leaf_weight_g,plant_area,blade_width_cm,cobertura_cm2,conductivity_?S_cm-1,oxygen_mg_lt,sheath_length_cm,temperature_c,canopy_openess,host_tree_label,no_brom_3m_cumulative,no_brom_host_tree,substrate,oxygen_mgperl,canopy_height,elevation,catchment_diameter,total_bromeliads_on_same_tree,fpom_ml,tank_height_cm,cpom_g ,fpom_g,horizontal _leaves_percentage,min,max,mass
196,26,test_Brom_1,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,26,ABC,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,21,Brom 3,Quesnelia_arvensis,152,335,43,26,0,NA,NA,NA,2007-01-17,"NA",none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,20000,3.05
216,21,Brom 46,Quesnelia_arvensis,255,525,47,41,0,NA,NA,NA,2007-01-18,"NA",none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,20000,22.53
221,21,Brom 95,Quesnelia_arvensis,145,410,88.5,33,0,NA,NA,NA,2007-01-19,"NA",Aglaoctenus_castaneus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,20000,32.56
226,21,Brom 102,Quesnelia_arvensis,285,625,81,28,0,NA,NA,NA,2008-01-19,"NA",Corinna_gr_rubripes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,20000,45.8
231,21,Brom 16,Quesnelia_arvensis,655,1270,62,53,0,NA,NA,NA,2008-01-20,"NA",Aglaoctenus_castaneus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,20000,89.65
236,21,Brom 48,Quesnelia_arvensis,910,1625,74,51,0,NA,NA,NA,2008-01-22,"NA",Corinna_gr_rubripes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,20000,59.11
241,21,Brom 85,Quesnelia_arvensis,40,85,44,19,0,NA,NA,NA,2008-01-23,"NA",Corinna_gr_rubripes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,20000,5.2
246,21,Brom 64,Quesnelia_arvensis,1065,2840,73,87,0,NA,NA,NA,2008-01-26,"NA",Corinna_gr_rubripes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,20000,82.12
