species_id,bwg_name,domain,kingdom,phylum,subphylum,class,subclass,ord,subord,family,subfamily,tribe,genus,species,subspecies,functional_group,predation,realm,micro_macro,barcode,AS1,AS2,AS3,AS4,BS1,BS2,BS3,BS4,BS5,DM1,DM2,FD1,FD2,FD3,FD4,FD5,FD6,FD7,FD8,FG1,FG2,FG3,FG4,FG5,FG6,LO1,LO2,LO3,LO4,LO5,LO6,LO7,RE1,RE2,RE3,RE4,RE5,RE6,RE7,RE8,RF1,RF2,RF3,RF4,RM1,RM2,RM3,RM4,RM5,names
3361,Copepoda.1,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Harpacticoida,"NA",Canthocamptidae,"NA","NA",Bryocamptus,"NA",NA,filter.feeder,prey,aquatic,micro,EEE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bryocamptus sp
3366,Branchiopoda.2,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Diplostraca,Cladocera,Daphnidae,"NA","NA","NA","NA",NA,filter.feeder,prey,aquatic,micro,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daphnidae sp
3371,Diptera.222,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Diptera,"NA","NA","NA","NA","NA","NA",NA,"NA","NA",aquatic,macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pupa_Diptera2
3376,Diptera.223,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Diptera,"NA","NA","NA","NA","NA","NA",NA,"NA","NA",aquatic,macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pupa_Diptera3
3381,Diptera.224,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Diptera,"NA","NA","NA","NA","NA","NA",NA,"NA","NA",aquatic,macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pupa_Diptera4
3386,Diptera.225,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Diptera,"NA","NA","NA","NA","NA","NA",NA,"NA","NA",aquatic,macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pupa_Diptera5
3391,Diptera.226,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Diptera,"NA","NA","NA","NA","NA","NA",NA,"NA","NA",aquatic,macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pupa_Diptera6
3396,Diptera.26,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Diptera,Brachycera,"NA","NA","NA","NA","NA",NA,"NA","NA",aquatic,macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brachycera1
3401,Diptera.437,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Diptera,Brachycera,"NA","NA","NA","NA","NA",NA,"NA","NA",aquatic,macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BrachyceraA
3406,Diptera.27,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Diptera,Brachycera,"NA","NA","NA","NA","NA",NA,"NA","NA",aquatic,macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brachycera2
3411,Diptera.28,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Diptera,Brachycera,"NA","NA","NA","NA","NA",NA,"NA","NA",aquatic,macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brachycera3
3416,Diptera.29,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Diptera,Brachycera,"NA","NA","NA","NA","NA",NA,"NA","NA",aquatic,macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brachycera4
3421,Branchiopoda.3,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Diplostraca,Cladocera,Daphniidae,"NA","NA",Ceriodaphnia,laticaudata,NA,filter.feeder,prey,aquatic,micro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceriodaphnia;laticaudata
3426,Diptera.229,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Diptera,"NA","NA","NA","NA","NA","NA",NA,piercer,predator,terrestrial,macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rhagionidae larva?
3431,Diptera.7,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Diptera,Brachycera,aff. Drosophilidae,"NA","NA","NA","NA",NA,gatherer,prey,aquatic,macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aff. Drosophilidae sp. 1
3436,Diptera.184,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Diptera,Nematocera,Anisopodidae,Anisopodinae,"NA",Olbiogaster,"NA",NA,gatherer,prey,aquatic,macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Olbiogaster sp. 1
3441,Diptera.497,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Diptera,Nematocera,Anisopodidae,"NA","NA","NA","NA",NA,gatherer,prey,aquatic,macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3446,Diptera.16,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Diptera,Nematocera,Axymyiidae,"NA","NA","NA","NA",NA,engulfer,predator,aquatic,macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Axmyiidae cf. sp. 5561
3451,Diptera.529,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Diptera,Brachycera,Canacidae,"NA","NA","NA","NA",NA,piercer,predator,"NA",macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DPT - IC31
3456,Diptera.521,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Diptera,Nematocera,Cecidomyiidae,"NA","NA","NA","NA",NA,piercer,predator,"NA",macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DPT - IC6
3461,Diptera.522,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Diptera,Nematocera,Cecidomyiidae,"NA","NA","NA","NA",NA,piercer,predator,"NA",macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DPT - IC8
3466,Diptera.523,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Diptera,Nematocera,Cecidomyiidae,"NA","NA","NA","NA",NA,piercer,predator,"NA",macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DPT - IC13
3471,Diptera.30,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Diptera,Nematocera,Cecidomyiidae,"NA","NA","NA","NA",NA,piercer,predator,aquatic,macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecidomyidae sp. 1
3476,Coleoptera.4,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Coleoptera,"NA","NA","NA","NA","NA","NA",NA,"NA","NA",terrestrial,macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coleopteraimago1
3481,Diptera.31,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Diptera,Nematocera,Cecidomyiidae,"NA","NA","NA","NA",NA,piercer,predator,aquatic,macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecidomyidae sp. 2
3486,Diptera.32,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Diptera,Nematocera,Cecidomyiidae,"NA","NA","NA","NA",NA,piercer,predator,aquatic,macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecidomyidae sp. 3
3491,Diptera.35,Eukaryota,Animalia,Arthropoda,"NA",Insecta,Neoptera,Diptera,Nematocera,Cecidomyiidae,"NA","NA","NA","NA",NA,piercer,predator,aquatic,macro,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecidomyiidae1;Diptera.33;Diptera.34
