visit_id,dataset_id,habitat,date,min_rainfall,max_rainfall,min_temperature,max_temperature,min_elevation,max_elevation,collection_method,latitude,longitude,meta,dataset_name
21,6,"closed restinga forest, Quesnelia arvensis",2008-01-17,NA,NA,NA,NA,9,10,dissection,-25.0716,-47.9234,Collected during Diane's sabbatical,Cardoso2008
231,146,Restinga - Open,2011-02-05,NA,NA,NA,NA,0,10,dissection,-25.072,-47.923,NA,Cardoso2011
106,101,"cloud forest, primary and secondary",2006-07-23,NA,NA,NA,NA,1300,2200,dissection,15.542,-88.264,"Jocqué M, A Kernahan, A Nobes, C Willians & R Field 2010 How effective are non-destructive sampling methods to assess aquatic invertebrate diversity in bromeliads? Hydrobiologia 649 293-300.
the amount of light (‘light’, openness of the canopy, ten point scale - 1 closed - 10 is completely open) and the openness to receive water from precipitation (‘rain’, ten-point scale, 1 is closed with no precipitation, 10 is open with lots of precipitation). catchment height : height of the plant from the base of the bromeliad core to the highest water catchment point. (cm) catchment diameter (cm)",Cusuco2006
111,106,Lower Montane Tropical Forest,2007-07-10,NA,NA,NA,NA,1500,1787,dissection,15.542,-88.264,"Jocqué M, A Kernahan, A Nobes, C Willians & R Field 2010 How effective are non-destructive sampling methods to assess aquatic invertebrate diversity in bromeliads? Hydrobiologia 649 293-300",Cusuco2007
101,96,"Dry limestone scrub forest, coast to 300m inl",NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,DiscoveryBay1997
201,136,Cloud Forest,2002-02-14,NA,NA,NA,NA,1100,1160,dissection,15.375,-61.335,"Richardson, B.A. and Richardson, M.J. 2014. Bromeliad Invertebrate Communities on Saba, Netherlands Antilles. Caribbean Naturalist. 14: 1-12.
Bromeliads were disassembled and leaves washed. ""altitude (‘altitude’, in metres above sea level), attachment height on the tree (‘attach’), the width (‘width’) and height (‘height’) of the bromeliad, the number of other bromeliads within a 2-m radius (‘R-Brom’), the amount of light (‘light’, openness of the canopy, tenpoint scale) and the openness to receive water from precipitation (‘rain’, effectively an inverse shelter measure, ten-point scale). The attachment height on the tree was measured as the shortest distance in cm between the forest floor and the underside of the bromeliad core. The bromeliad core is the central axis where all leaf bases join, and is also the origin of the roots (or ‘holdfasts’ because they are only used for attachment). For plant width and height, we measured from the point of water catchment on the leaves: leaves are angled upwards from the core of the plant until they (particularly outer leaves) bend downwards from the weight of the leaf (BWGdb: renamed to catchment_height). Up to this point of bending downwards, the water intercepted by the leaves runs
into the leaf axils; beyond that point most water does not run into the tank of the bromeliad. We measured the width of the plant as the largest horizontal distance between the water catchments points of wo opposing leaves (cm): BWGdb has renamd this to catchment_diameter. We measured the height of the plant from the base of the bromeliad core to the highest water catchment point (cm). We counted the number of other bromeliads on the same tree as the sampled bromeliad, and also on the trees within a 2-m radius. In 2007, we additionally stratified sampling of bromeliads, into two types: individuals that were the only bromeliad attached to the tree (SOLO) and individuals that were one of at least two bromeliads attached to the same tree (MULTI). In MULTI, we targeted bromeliads that were underneath others on the tree, thus allowing dispersal into them via water flow from other bromeliads. After removing all the invertebrates, we manually removed the larger organic debris and then filtered the rest using a 22-lm sieve, to determine detritus content (g). During this process, we measured additional variables: amount of water held by the plant (ml), the total number of leaves, fresh weight of the cleaned plant (g) and circumference of the core (mm). The total number of leaves comprised all the green leaves and the leaves with at least the base still green.""",Dominica2002
196,136,Montane Thicket,2002-02-14,NA,NA,NA,NA,800,860,dissection,15.375,-61.335,"Richardson et al, 2006.Caribbean Journal of Science 42: 380-385.
Bromeliads were disassembled and leaves washed.
Bromeliads were disassembled and leaves washed. ""altitude (‘altitude’, in metres above sea level), attachment height on the tree (‘attach’), the width (‘width’) and height (‘height’) of the bromeliad, the number of other bromeliads within a 2-m radius (‘R-Brom’), the amount of light (‘light’, openness of the canopy, tenpoint scale) and the openness to receive water from precipitation (‘rain’, effectively an inverse shelter measure, ten-point scale). The attachment height on the tree was measured as the shortest distance in cm between the forest floor and the underside of the bromeliad core. The bromeliad core is the central axis where all leaf bases join, and is also the origin of the roots (or ‘holdfasts’ because they are only used for attachment). For plant width and height, we measured from the point of water catchment on the leaves: leaves are angled upwards from the core of the plant until they (particularly outer leaves) bend downwards from the weight of the leaf (BWGdb: renamed to catchment_height). Up to this point of bending downwards, the water intercepted by the leaves runs
into the leaf axils; beyond that point most water does not run into the tank of the bromeliad. We measured the width of the plant as the largest horizontal distance between the water catchments points of wo opposing leaves (cm): BWGdb has renamd this to catchment_diameter. We measured the height of the plant from the base of the bromeliad core to the highest water catchment point (cm). We counted the number of other bromeliads on the same tree as the sampled bromeliad, and also on the trees within a 2-m radius. In 2007, we additionally stratified sampling of bromeliads, into two types: individuals that were the only bromeliad attached to the tree (SOLO) and individuals that were one of at least two bromeliads attached to the same tree (MULTI). In MULTI, we targeted bromeliads that were underneath others on the tree, thus allowing dispersal into them via water flow from other bromeliads. After removing all the invertebrates, we manually removed the larger organic debris and then filtered the rest using a 22-lm sieve, to determine detritus content (g). During this process, we measured additional variables: amount of water held by the plant (ml), the total number of leaves, fresh weight of the cleaned plant (g) and circumference of the core (mm). The total number of leaves comprised all the green leaves and the leaves with at least the base still green.""",Dominica2002
191,136,Subtropical,2002-02-14,NA,NA,NA,NA,750,850,dissection,15.375,-61.335,"Srivastava DS, MK Trzcinski, BA Richardson & B Gilbert 2008 Why are predators more sensitive to habitat size than their prey? Insights from bromeliad insect food webs American Naturalist 172 761-771
Bromeliads were disassembled and leaves washed.
Bromeliads were disassembled and leaves washed. ""altitude (‘altitude’, in metres above sea level), attachment height on the tree (‘attach’), the width (‘width’) and height (‘height’) of the bromeliad, the number of other bromeliads within a 2-m radius (‘R-Brom’), the amount of light (‘light’, openness of the canopy, tenpoint scale) and the openness to receive water from precipitation (‘rain’, effectively an inverse shelter measure, ten-point scale). The attachment height on the tree was measured as the shortest distance in cm between the forest floor and the underside of the bromeliad core. The bromeliad core is the central axis where all leaf bases join, and is also the origin of the roots (or ‘holdfasts’ because they are only used for attachment). For plant width and height, we measured from the point of water catchment on the leaves: leaves are angled upwards from the core of the plant until they (particularly outer leaves) bend downwards from the weight of the leaf (BWGdb: renamed to catchment_height). Up to this point of bending downwards, the water intercepted by the leaves runs
into the leaf axils; beyond that point most water does not run into the tank of the bromeliad. We measured the width of the plant as the largest horizontal distance between the water catchments points of wo opposing leaves (cm): BWGdb has renamd this to catchment_diameter. We measured the height of the plant from the base of the bromeliad core to the highest water catchment point (cm). We counted the number of other bromeliads on the same tree as the sampled bromeliad, and also on the trees within a 2-m radius. In 2007, we additionally stratified sampling of bromeliads, into two types: individuals that were the only bromeliad attached to the tree (SOLO) and individuals that were one of at least two bromeliads attached to the same tree (MULTI). In MULTI, we targeted bromeliads that were underneath others on the tree, thus allowing dispersal into them via water flow from other bromeliads. After removing all the invertebrates, we manually removed the larger organic debris and then filtered the rest using a 22-lm sieve, to determine detritus content (g). During this process, we measured additional variables: amount of water held by the plant (ml), the total number of leaves, fresh weight of the cleaned plant (g) and circumference of the core (mm). The total number of leaves comprised all the green leaves and the leaves with at least the base still green.""",Dominica2002
156,121,Dwarf forest,1993-12-18,NA,NA,NA,NA,NA,NA,dissection,18.321,-65.817,"Richardson et al. 2000. Journal of Tropical Ecology 16, 167-188.",ElVerde1993
151,121,Palo colarado,1993-12-18,NA,NA,NA,NA,NA,NA,dissection,18.321,-65.817,ichardson et al. 2015 Biotropica 47 201-207,ElVerde1993
146,121,Tabunoco,1993-12-18,NA,NA,NA,NA,NA,NA,dissection,18.321,-65.817,Richardson BA 1999 The Bromeliad Microcosm and the Assessment of Faunal Diversity in a Neotropical Forest Biotropica 31 321-336,ElVerde1993
171,126,Dwarf forest,1994-01-01,NA,NA,NA,NA,NA,NA,dissection,18.321,-65.817,Hansen & Richardson 1998. Systematic Entomology 23:1-8,ElVerde1994
166,126,Palo colarado,1994-01-01,NA,NA,NA,NA,NA,NA,dissection,18.321,-65.817,"Richardson et al, 2006.Caribbean Journal of Science 42: 380-385.",ElVerde1994
161,126,Tabunoco,1994-01-01,NA,NA,NA,NA,NA,NA,dissection,18.321,-65.817,"Richardson, et al 2000. Ecological Entomology 25, 348-356.",ElVerde1994
361,221,Dwarf Forest,1966-03-12,NA,NA,NA,NA,NA,NA,dissection,18.321,-65.817,NA,ElVerde1996
356,221,Palo Colarado,1996-03-12,NA,NA,NA,NA,NA,NA,dissection,18.321,-65.817,NA,ElVerde1996
351,221,Tabunoco,1996-03-12,NA,NA,NA,NA,NA,NA,dissection,18.321,-65.817,NA,ElVerde1996
